|id_entity|type|gender|occupation|generation|region
981|urn:uuid:8e4f3d27-a26f-4efd-8b44-e19b346da3fb|jurist|male|scientist|1931-1951|Central Europe
982|urn:uuid:e9f12fb3-b578-4c22-940c-c7a8ea326b1d|economist|male|politician|1791-1811|Central Europe
983|urn:uuid:e9f12fb3-b578-4c22-940c-c7a8ea326b1d|economist|male|scientist|1791-1811|Central Europe
984|urn:uuid:3e9010e9-bd9d-427f-9499-0ed3fd85d103|jurist|male|writer|1891-1911|Central Europe
985|urn:uuid:b0da0821-49b5-4443-8ae1-01c0eb65652f|jurist|male|scientist|1831-1851|Central Europe
986|urn:uuid:7e0a9bba-9e66-4417-9c27-46105527cb25|jurist|male|politician|1871-1891|Central Europe
987|urn:uuid:4b44c31b-c714-453a-8400-b14441ee6edc|jurist|male|scientist|1931-1951|Central Europe
988|urn:uuid:91a8969b-c835-49be-b442-71ad98802683|jurist|male|scientist|1811-1831|Central Europe
989|urn:uuid:2ac42de6-e417-4d17-85dd-628c377068cb|economist|male|scientist|1931-1951|Central Europe
991|urn:uuid:055de872-2f51-4873-bfa6-289886f30fa1|jurist|male|scientist|1911-1931|Central Europe
992|urn:uuid:40e6c216-148c-4f96-8522-7766174992fc|jurist|male|politician|1831-1851|Central Europe
993|urn:uuid:8524ad53-f8a4-4dad-8c5e-92885a229649|jurist|male|other_occupation|1871-1891|Central Europe
994|urn:uuid:fcd99aa4-b5bc-4cbe-9ec8-4c44be20408c|jurist|male|politician|1911-1931|Central Europe
995|urn:uuid:e2802e3b-9c86-4cb9-a03e-e76aa654696b|jurist|male|politician|1871-1891|Central Europe
996|urn:uuid:0d81aaae-3958-484c-9e1c-ce2ceac177ae|jurist|male|scientist|1931-1951|Central Europe
998|urn:uuid:d694620b-a135-41f5-b037-fafcc8e6c6b6|jurist|male|scientist|1911-1931|Central Europe
999|urn:uuid:1d14ce3c-3b54-462c-982f-f721eec2dd8f|jurist|male|scientist|1931-1951|Central Europe
1000|urn:uuid:6ae38c73-64ce-4967-8ed0-11abc247e75c|jurist|female|writer|1891-1911|Central Europe
1001|urn:uuid:5de988ef-5bef-456c-957b-9e5a0a79b2eb|jurist|male|politician|1811-1831|Central Europe
1002|urn:uuid:f48dca81-7571-419b-a883-9ee428909f5b|economist|male|scientist|1931-1951|Central Europe
1003|urn:uuid:578dde04-10c3-4bd3-ad18-abbc5b7c2e23|jurist|male|politician|1891-1911|Central Europe
1004|urn:uuid:9080e32c-201b-4031-88a1-70554d253bc2|economist|male|scientist|1931-1951|Central Europe
1005|urn:uuid:9080e32c-201b-4031-88a1-70554d253bc2|economist|male|writer|1931-1951|Central Europe
1006|urn:uuid:1c480512-d7a3-4086-ae99-b1511ddd3564|jurist|male|politician|1831-1851|Central Europe
1007|urn:uuid:a6a31e50-521b-4b50-ab41-96643963d71d|jurist|male|politician|1871-1891|Central Europe
1008|urn:uuid:a6a31e50-521b-4b50-ab41-96643963d71d|jurist|male|other|1871-1891|Central Europe
1009|urn:uuid:5b09937f-c574-4c88-b4a4-8e8683af1ecc|economist|male|scientist|1931-1951|Central Europe
1010|urn:uuid:bbbd88b0-0394-4bba-8ef5-e6e5223e51bb|jurist|male|scientist|1931-1951|Central Europe
1011|urn:uuid:ece29721-bd6e-4d2f-abed-65d97796d8ec|jurist|male|scientist|1891-1911|Central Europe
1012|urn:uuid:3dc23871-0581-48ba-a051-811c6d585768|jurist|male|politician|1911-1931|Central Europe
1013|urn:uuid:b41e2914-4487-4aa3-af4f-d058514f6027|jurist|male|businessperson|1851-1871|Central Europe
1014|urn:uuid:a4242be6-2134-411f-aa14-d2fafe9677b3|economist|male|scientist|1931-1951|Central Europe
1015|urn:uuid:67405c2d-724a-4f65-8a7a-da4a285f61d2|economist|male|scientist|1931-1951|Central Europe
1016|urn:uuid:d42f8742-75a2-4d8b-83ed-7da6868289fa|jurist|male|scientist|1931-1951|Central Europe
1017|urn:uuid:92e2249a-dd91-4ef4-bae9-a77707e56b7e|jurist|male|writer|1891-1911|Central Europe
1018|urn:uuid:4d0a1443-632a-4cf2-8a42-cb5f69acd5d2|jurist|male|scientist|1931-1951|Central Europe
1019|urn:uuid:9021c0c7-0371-4734-bb0a-97fa9d2ce9a5|jurist|male|scientist|1891-1911|Central Europe
1020|urn:uuid:6978eb7a-7569-4f91-8ecd-d523b5e6a75d|jurist|male|scientist|1771-1791|Central Europe
1021|urn:uuid:2aa632d5-777f-4a57-b10b-06518834aa04|jurist|male|scientist|1931-1951|Central Europe
1022|urn:uuid:4f73184e-4cd0-4d30-9343-fd14fc466fd6|jurist|male|politician|1831-1851|Central Europe
1023|urn:uuid:4f73184e-4cd0-4d30-9343-fd14fc466fd6|jurist|male|other|1831-1851|Central Europe
1024|urn:uuid:6779c988-52d5-4419-ba01-40a5dd0257ac|economist|male|politician|1871-1891|Central Europe
1025|urn:uuid:6779c988-52d5-4419-ba01-40a5dd0257ac|economist|male|scientist|1871-1891|Central Europe
1026|urn:uuid:6779c988-52d5-4419-ba01-40a5dd0257ac|economist|male|other|1871-1891|Central Europe
1027|urn:uuid:8f6145f0-337b-4815-a2c2-70a0d0bef170|jurist|male|politician|1871-1891|Central Europe
1028|urn:uuid:8f6145f0-337b-4815-a2c2-70a0d0bef170|jurist|male|businessperson|1871-1891|Central Europe
1029|urn:uuid:f235b52c-74fb-4b3a-aab3-61e289decdbb|economist|male|scientist|1931-1951|Central Europe
1030|urn:uuid:a20f248e-95ec-41ca-8d40-f96ef22381d7|jurist|male|politician|1931-1951|Central Europe
1031|urn:uuid:6781495b-ebe4-4d83-8c36-e72d366a45f7|jurist|male|politician|1871-1891|Central Europe
1032|urn:uuid:df9fa208-7164-4e1e-9885-2e0abc9d32ab|jurist|male|politician|1811-1831|Central Europe
1033|urn:uuid:e909fe9f-384d-4a19-ba5d-6128e084d346|jurist|male|politician|1791-1811|Central Europe
1034|urn:uuid:5ac99708-677e-47c9-a773-fecd655ea606|jurist|male|scientist|1891-1911|Central Europe
1035|urn:uuid:ea03eef9-2573-47f2-832f-79651e56bd38|jurist|male|politician|1891-1911|Central Europe
1036|urn:uuid:84251119-1fcc-48d1-b875-d2b8197e7f93|jurist|male|scientist|1931-1951|Central Europe
1037|urn:uuid:076c1108-db00-45a5-bb1a-ecc68ad0db17|jurist|male|politician|1851-1871|Central Europe
1038|urn:uuid:076c1108-db00-45a5-bb1a-ecc68ad0db17|jurist|male|businessperson|1851-1871|Central Europe
1040|urn:uuid:48b45a42-acec-4628-9ee2-13309b7726a9|jurist|male|scientist|1931-1951|Central Europe
1041|urn:uuid:ecf01d14-880c-4edf-aaea-cfda1bf38125|jurist|male|politician|1811-1831|Central Europe
1042|urn:uuid:67519b3d-33fd-4e39-9a15-065ffd6fe5b5|jurist|male|scientist|1911-1931|Central Europe
1043|urn:uuid:c963f234-e57e-4f14-b3d1-8a185965cefd|jurist|male|scientist|1931-1951|Central Europe
1045|urn:uuid:7a760d5a-931c-4b72-a28e-6c9a3aafed1c|jurist|male|scientist|1931-1951|Central Europe
1046|urn:uuid:18641414-d228-479e-b5ac-cf533d328dbf|jurist|male|scientist|1911-1931|Central Europe
1047|urn:uuid:9cc2060f-7681-4595-a381-d88b7bb8680b|economist|male|scientist|1911-1931|Central Europe
1048|urn:uuid:9cc2060f-7681-4595-a381-d88b7bb8680b|economist|male|writer|1911-1931|Central Europe
1049|urn:uuid:cd12420a-ef19-437a-8264-f369c4b92d92|jurist|male|scientist|1931-1951|Central Europe
1050|urn:uuid:2ac997ae-5c2f-472e-ba3a-c2a161042d83|jurist|male|scientist|1891-1911|Central Europe
1051|urn:uuid:2a71d874-6257-4753-9fac-84c736e2a7d1|jurist|male|politician|1891-1911|Central Europe
1052|urn:uuid:829015eb-c6d0-464e-bffd-0606f3842314|economist|male|scientist|1911-1931|Central Europe
1053|urn:uuid:412d7a6c-5888-4f65-b002-dab1f616233d|jurist|male|media person|1851-1871|Central Europe
1054|urn:uuid:412d7a6c-5888-4f65-b002-dab1f616233d|jurist|male|politician|1851-1871|Central Europe
1055|urn:uuid:fbcd84e3-0919-422c-82a8-8e77fb4f288f|jurist|male|scientist|1871-1891|Central Europe
1056|urn:uuid:e8ba6490-3d6b-440d-8233-9e33ab02aaf4|economist|male|scientist|1931-1951|Central Europe
1057|urn:uuid:8e89adc2-b8d4-4d10-851a-642e0a6dad52|economist|male|scientist|1931-1951|Central Europe
1058|urn:uuid:c3313f0f-46c9-4499-af87-a192eb5e8719|jurist|male|politician|1871-1891|Central Europe
1059|urn:uuid:c3313f0f-46c9-4499-af87-a192eb5e8719|jurist|male|writer|1871-1891|Central Europe
1060|urn:uuid:a3106700-6c36-4c64-a4ca-e94e3f6f14f3|economist|male|scientist|1931-1951|Central Europe
1061|urn:uuid:3e7f3cc4-7cdc-48e2-b2a4-40f52aa1dc87|jurist|male|politician|1931-1951|Central Europe
1062|urn:uuid:3bb6c1d0-7ce4-49cf-a946-d027347ca6b6|jurist|male|scientist|1931-1951|Central Europe
1063|urn:uuid:29008bee-70f8-47d4-8075-d98a330326c3|jurist|male|politician|1911-1931|Central Europe
1064|urn:uuid:957bf30a-d2fc-4b08-9c1b-fe7571477b65|jurist|male|scientist|1931-1951|Central Europe
1065|urn:uuid:1e7fd4f3-f436-4293-abc6-4a764dafc891|jurist|male|politician|1931-1951|Central Europe
1066|urn:uuid:f06a1216-942d-411e-899a-f81f70b290fa|jurist|male|scientist|1931-1951|Central Europe
1067|urn:uuid:eb4389a9-aa25-4459-bf03-f0b85e49fd66|economist|male|scientist|1931-1951|Central Europe
1068|urn:uuid:7885e2fe-1bd6-4189-8224-6f7e38f3b7ae|jurist|male|scientist|1931-1951|Central Europe
1069|urn:uuid:25be4654-b5f6-4fbc-bb9b-2d8d92aba4b1|economist|male|scientist|1931-1951|Central Europe
1070|urn:uuid:1d48a56f-bd6f-4878-a683-41daadee5456|jurist|male|scientist|1931-1951|Central Europe
1071|urn:uuid:856e24af-97f5-4ed2-b838-07c64159e795|jurist|male|scientist|1931-1951|Central Europe
1072|urn:uuid:b6a9b298-f0bf-4626-80d3-f47093fe44c2|jurist|male|scientist|1931-1951|Central Europe
1073|urn:uuid:54c450ed-96a6-471a-a5a4-98046627086e|jurist|male|scientist|1931-1951|Central Europe
1074|urn:uuid:54c450ed-96a6-471a-a5a4-98046627086e|jurist|male|writer|1931-1951|Central Europe
1075|urn:uuid:767ad733-b7d7-4607-ad1a-a759b37f86f6|jurist|male|scientist|1931-1951|Central Europe
1076|urn:uuid:7a5c7206-c7ac-4c0b-8493-3ead1303c2c4|jurist|male|politician|1851-1871|Central Europe
1077|urn:uuid:afcafadf-c2fc-4101-8f22-75f16dce889e|jurist|male|scientist|1931-1951|Central Europe
1078|urn:uuid:e9af308d-2e61-4d5c-8d0a-f55ebf200473|jurist|male|politician|1911-1931|Central Europe
1079|urn:uuid:ebb298a9-2755-45a2-a128-4166edfcff04|jurist|male|other|1911-1931|Central Europe
1080|urn:uuid:a1cd9beb-f1e5-4deb-bfd3-657d41fe0bbf|jurist|male|scientist|1911-1931|Central Europe
1081|urn:uuid:a230fc25-9a86-4ffa-bac1-46f6237951c0|jurist|male|scientist|1911-1931|Central Europe
1082|urn:uuid:a230fc25-9a86-4ffa-bac1-46f6237951c0|jurist|male|other|1911-1931|Central Europe
1083|urn:uuid:293895df-9883-4edb-9075-0404280f341d|jurist|female|politician|1911-1931|Central Europe
1084|urn:uuid:373b9c89-0490-4483-bfbf-50b8a0a3e84f|jurist|male|businessperson|1911-1931|Central Europe
1085|urn:uuid:30281129-9d3a-42c4-932d-6f7860964a03|jurist|male|scientist|1931-1951|Central Europe
1086|urn:uuid:84e9e946-36e6-4cbf-8f8e-309e56efae9c|economist|male|scientist|1911-1931|Central Europe
1087|urn:uuid:ae5b50b8-b6e1-44e0-bb7b-42bf35096f5e|jurist|male|politician|1871-1891|Central Europe
1088|urn:uuid:cae6bcd0-9061-4834-ab0d-091dfe2ed12d|jurist|male|scientist|1931-1951|Central Europe
1089|urn:uuid:f47d924e-3f94-40f3-aa3b-7c24e4a158b5|economist|male|scientist|1851-1871|Central Europe
1090|urn:uuid:d853af87-f5ba-4af3-ab85-e295bf566ece|jurist|male|politician|1891-1911|Central Europe
1091|urn:uuid:d853af87-f5ba-4af3-ab85-e295bf566ece|jurist|male|scientist|1891-1911|Central Europe
1092|urn:uuid:baca4f33-98de-4989-b0b7-66985907b8df|jurist|male|politician|1871-1891|Central Europe
1093|urn:uuid:baca4f33-98de-4989-b0b7-66985907b8df|jurist|male|other|1871-1891|Central Europe
1094|urn:uuid:c6b3e819-ae88-49c9-8bfa-027d3bf90387|jurist|male|politician|1871-1891|Central Europe
1095|urn:uuid:cbdc4629-71ee-4d88-8c5a-b8fa81da62ba|economist|male|scientist|1811-1831|Central Europe
1096|urn:uuid:0d4627e5-e6cf-4652-9f12-ae9fd5204058|jurist|male|scientist|1911-1931|Central Europe
1097|urn:uuid:557c9b9b-23d7-4b9b-b508-5a25280437a1|jurist|male|scientist|1911-1931|Central Europe
1098|urn:uuid:b8c724e7-007e-4132-801b-ae79bcbb90ec|jurist|male|politician|1871-1891|Central Europe
1099|urn:uuid:0b0305e5-9aea-40a1-8a02-fd5b83fa2b28|jurist|male|politician|1891-1911|Central Europe
1100|urn:uuid:a2b8c277-e126-4fa7-ace6-74e7c9270723|jurist|male|politician|1851-1871|Central Europe
1101|urn:uuid:2511bb01-d0af-460b-b4c0-d0556618be0e|jurist|male|scientist|1931-1951|Central Europe
1102|urn:uuid:a8116966-96b7-4a20-9240-434b477b5eac|economist|male|scientist|1911-1931|Central Europe
1103|urn:uuid:4401df78-1a19-41ed-8902-eeb870841b7d|economist|male|scientist|1931-1951|Central Europe
1104|urn:uuid:4401df78-1a19-41ed-8902-eeb870841b7d|economist|male|writer|1931-1951|Central Europe
1105|urn:uuid:e6c1e92a-ac97-4e4f-975c-b91763aa45db|economist|male|scientist|1931-1951|Central Europe
1106|urn:uuid:b8ecabce-fbde-454d-99ad-f701cdcf0ec6|jurist|male|politician|1811-1831|Central Europe
1107|urn:uuid:b8ecabce-fbde-454d-99ad-f701cdcf0ec6|jurist|male|other|1811-1831|Central Europe
1108|urn:uuid:97e628cf-756e-4db6-9a38-4857dfb195dc|jurist|male|scientist|1931-1951|Central Europe
1109|urn:uuid:9db780e7-e5a8-400f-aa5f-47d2e7723ef7|jurist|male|scientist|1791-1811|Central Europe
1111|urn:uuid:9db780e7-e5a8-400f-aa5f-47d2e7723ef7|jurist|male|writer|1791-1811|Central Europe
1113|urn:uuid:e7dec4fd-b083-4567-b552-7ead903a9b2f|jurist|female|politician|1891-1911|Central Europe
1114|urn:uuid:9a0a9248-739b-4b5f-87ae-bded4a0b6c63|jurist|male|scientist|1931-1951|Central Europe
1115|urn:uuid:0cd488ff-4568-4b26-85bb-21ca6db7e13e|jurist|male|scientist|1891-1911|Central Europe
1116|urn:uuid:db8fab7a-40e7-4615-a017-636823e8cf88|jurist|male|politician|1831-1851|Central Europe
1117|urn:uuid:db8fab7a-40e7-4615-a017-636823e8cf88|jurist|male|other|1831-1851|Central Europe
1118|urn:uuid:2c33f9c5-372b-4c0b-abdd-1928b20a8b7f|jurist|male|scientist|1931-1951|Central Europe
1119|urn:uuid:a55b0f3a-be46-40b7-832b-f03ecb2f1ea7|jurist|male|scientist|1931-1951|Central Europe
1120|urn:uuid:92c1ca98-61be-46e4-a6f7-c5797658edc7|economist|male|media person|1911-1931|Central Europe
1121|urn:uuid:c3944c4b-4973-4336-8420-a1dcb6157895|economist|male|scientist|1931-1951|Central Europe
1122|urn:uuid:f16beb62-50e7-43eb-b7e8-7d5c7d189b83|jurist|male|politician|1831-1851|Central Europe
1123|urn:uuid:1cff76e4-5a23-4fb4-8add-ad7ec283c606|jurist|male|scientist|1931-1951|Central Europe
1124|urn:uuid:68f5d5a9-432e-4a8d-a561-474531dfd843|jurist|male|politician|1931-1951|Central Europe
1125|urn:uuid:578ccc45-a660-4aef-9e11-4496c45124f5|jurist|male|scientist|1931-1951|Central Europe
1126|urn:uuid:578ccc45-a660-4aef-9e11-4496c45124f5|jurist|male|writer|1931-1951|Central Europe
1127|urn:uuid:f5e68eaf-fa4e-4781-bc8b-02f607da48c1|jurist|male|scientist|1931-1951|Central Europe
1128|urn:uuid:2b666338-2c8e-4248-b06c-f335f7a64cd2|jurist|male|politician|1871-1891|Central Europe
1129|urn:uuid:5f75b49c-4116-454f-862c-1863287373fc|jurist|male|politician|1791-1811|Central Europe
1130|urn:uuid:0c535656-8f85-4cc2-8ff2-829034f6ef90|economist|male|scientist|1931-1951|Central Europe
1131|urn:uuid:c3078103-b8f3-4b72-bce8-b90ceb20afaa|jurist|male|politician|1891-1911|Central Europe
1132|urn:uuid:c3078103-b8f3-4b72-bce8-b90ceb20afaa|jurist|male|scientist|1891-1911|Central Europe
1133|urn:uuid:b8bdd8a1-6bdd-4aba-9fe1-ccab91cd2b07|jurist|male|politician|1911-1931|Central Europe
1134|urn:uuid:db649066-2314-4a65-b10d-35226d78e1ff|economist|male|writer|1931-1951|Central Europe
1135|urn:uuid:cc4cf9d1-6089-45c1-87f9-ef91800a5b6f|economist|male|scientist|1911-1931|Central Europe
1136|urn:uuid:5950c1a0-cf1e-419d-985b-3cd58a65e38a|jurist|male|politician|1931-1951|Central Europe
1137|urn:uuid:5930387b-c1c6-4ce5-9a3d-3a4991ad4515|jurist|male|politician|1931-1951|Central Europe
1138|urn:uuid:933be3b4-e520-454e-803d-485aa007b682|economist|male|scientist|1891-1911|Central Europe
1139|urn:uuid:e2a17f21-937c-49db-b395-58996b6d7a99|economist|male|businessperson|1911-1931|Central Europe
1140|urn:uuid:15e3b9de-dad1-4ac2-9be3-b78c7f241fc4|jurist|male|politician|1911-1931|Central Europe
1141|urn:uuid:2eda01d7-efab-4e3b-9917-49a4d38c3788|jurist|male|scientist|1911-1931|Central Europe
1142|urn:uuid:afbac45b-ff42-42a9-b5b5-d01ee3b10263|jurist|female|scientist|1931-1951|Central Europe
1143|urn:uuid:3aeae5e1-b519-41b2-850a-4449127192b0|jurist|male|scientist|1931-1951|Central Europe
1144|urn:uuid:fc531079-f2dd-465b-b8db-6d525aa1b3b9|jurist|male|scientist|1931-1951|Central Europe
1145|urn:uuid:6d404d6a-7d16-4b74-a249-0ede6d93bdd6|jurist|male|scientist|1911-1931|Central Europe
1146|urn:uuid:18a685b6-f768-4d98-a86b-90f7662d9df4|jurist|male|scientist|1931-1951|Central Europe
1147|urn:uuid:23a8d640-1c83-43d5-b886-166de124e559|jurist|male|scientist|1931-1951|Central Europe
1148|urn:uuid:91ec7ead-b14a-4259-8b7e-709ca05f885b|jurist|male|media person|1931-1951|Central Europe
1149|urn:uuid:91ec7ead-b14a-4259-8b7e-709ca05f885b|jurist|male|writer|1931-1951|Central Europe
1150|urn:uuid:07723add-5fc0-40c4-aec9-966a253623a2|jurist|male|politician|1931-1951|Central Europe
1151|urn:uuid:d2341690-8780-4a79-8427-c66f87a967c0|jurist|male|politician|1791-1811|Central Europe
1152|urn:uuid:ea46ea13-a6db-4227-adce-77e0d0746ca8|jurist|male|scientist|1931-1951|Central Europe
1153|urn:uuid:b2907635-0665-4101-bdbe-c98b725de14e|jurist|male|politician|1891-1911|Central Europe
1154|urn:uuid:7fbdfe54-02cb-4c57-a8b4-3f2e9978f53e|economist|male|scientist|1931-1951|Central Europe
1155|urn:uuid:f483eb9a-9e23-4e8f-adf1-90003db13cd6|jurist|male|politician|1931-1951|Central Europe
1156|urn:uuid:c0f8e2e3-4e48-4041-be9d-09ebf0a8357a|jurist|male|scientist|1931-1951|Central Europe
1157|urn:uuid:73864852-e970-417e-b87f-aadc80726897|jurist|male|politician|1911-1931|Central Europe
1158|urn:uuid:69a06794-f995-45c0-b43c-d458aab2309a|jurist|male|scientist|1931-1951|Central Europe
1159|urn:uuid:d2964955-36bd-475a-a0d0-ac5594d8b361|jurist|male|politician|1811-1831|Central Europe
1160|urn:uuid:3f2943d0-68d1-4318-9bbf-3e98e2ba51b2|jurist|male|politician|1911-1931|Central Europe
1161|urn:uuid:3f2943d0-68d1-4318-9bbf-3e98e2ba51b2|jurist|male|other|1911-1931|Central Europe
1162|urn:uuid:1215df83-ebdd-494c-a7b4-9e94e912da6e|jurist|male|politician|1891-1911|Central Europe
1163|urn:uuid:5844ee93-9712-49a7-a4a4-52dc6ba0ecc1|jurist|male|politician|1811-1831|Central Europe
1164|urn:uuid:5ef98077-fe3f-4e01-9941-21b8eaa0d5b0|economist|male|media person|1811-1831|Central Europe
1165|urn:uuid:5ef98077-fe3f-4e01-9941-21b8eaa0d5b0|economist|male|other|1811-1831|Central Europe
1166|urn:uuid:5ef98077-fe3f-4e01-9941-21b8eaa0d5b0|economist|male|writer|1811-1831|Central Europe
1167|urn:uuid:d3aded02-85d8-475e-af81-b9440d901256|jurist|male|politician|1811-1831|Central Europe
1168|urn:uuid:d3aded02-85d8-475e-af81-b9440d901256|jurist|male|other|1811-1831|Central Europe
1169|urn:uuid:749dc125-128f-4ba4-9c3f-432ee3d0468e|jurist|male|politician|1831-1851|Central Europe
1170|urn:uuid:16a76208-e628-4bfd-94e1-60e642593285|jurist|male|politician|1811-1831|Central Europe
1171|urn:uuid:80b39179-3b60-4528-a248-e20b4b6220c2|jurist|male|other|1831-1851|Central Europe
1172|urn:uuid:80b39179-3b60-4528-a248-e20b4b6220c2|jurist|male|politician|1831-1851|Central Europe
1173|urn:uuid:0716071b-fccb-4552-ab3a-f357e3b37e35|jurist|male|politician|1891-1911|Central Europe
1174|urn:uuid:1dcdd77e-8fa1-42d5-b2d5-3ab3c0de8a5f|jurist|male|other|1911-1931|Central Europe
1175|urn:uuid:33dbaab8-1fd1-4a08-8808-07fa399145d1|jurist|male|scientist|1931-1951|Central Europe
1176|urn:uuid:96bceab9-63bc-42fa-868a-022b2527528b|economist|male|scientist|1931-1951|Central Europe
1177|urn:uuid:e6c813e4-08b7-41cc-86f1-d98fd2a48cd7|economist|male|scientist|1911-1931|Central Europe
1178|urn:uuid:e6c813e4-08b7-41cc-86f1-d98fd2a48cd7|economist|male|writer|1911-1931|Central Europe
1179|urn:uuid:9afd141d-f641-4681-a5f6-a93497dbf0eb|jurist|male|scientist|1931-1951|Central Europe
1180|urn:uuid:a9897aaf-3e7d-4dc7-a9e0-b261156f49c5|jurist|male|politician|1931-1951|Central Europe
1181|urn:uuid:1a9fcd4d-0fa7-46be-a747-3342233444ab|economist|male|scientist|1931-1951|Central Europe
1182|urn:uuid:61f5535a-7139-42b8-b12b-c383b1a9bb51|jurist|male|scientist|1911-1931|Central Europe
1183|urn:uuid:dd32e44b-680d-4e6d-8fdf-99405973d985|jurist|male|politician|1891-1911|Central Europe
1184|urn:uuid:c4fc5353-2824-4ebc-a8b3-e50aa9edebc9|jurist|male|politician|1811-1831|Central Europe
1185|urn:uuid:547a8ea6-7149-4067-befd-e4da9c51b236|jurist|male|scientist|1911-1931|Central Europe
1186|urn:uuid:511f63da-2a74-4557-a929-3bee12f149f5|jurist|male|politician|1891-1911|Central Europe
1187|urn:uuid:b4afa285-485a-437e-a316-db53202dd8af|jurist|male|politician|1831-1851|Central Europe
1188|urn:uuid:55d75bdc-7c66-4195-9453-7e590cf5a247|jurist|male|scientist|1931-1951|Central Europe
1189|urn:uuid:70206393-4148-42f7-8a5c-37261834340b|jurist|male|scientist|1811-1831|Central Europe
1190|urn:uuid:70206393-4148-42f7-8a5c-37261834340b|jurist|male|writer|1811-1831|Central Europe
1191|urn:uuid:c0304313-d209-4159-ae08-af5cd3af9116|jurist|male|politician|1811-1831|Central Europe
1192|urn:uuid:77ee971b-92c6-4b34-b1e0-28f76735d57f|jurist|male|media person|1871-1891|Central Europe
1193|urn:uuid:7044cea6-7b11-4dae-8d83-f3df1f51a183|jurist|male|politician|1851-1871|Central Europe
1195|urn:uuid:549ff262-b0df-4b75-b461-ac3fb304f8d0|jurist|male|politician|1931-1951|Central Europe
1196|urn:uuid:549ff262-b0df-4b75-b461-ac3fb304f8d0|jurist|male|scientist|1931-1951|Central Europe
1197|urn:uuid:955e6a71-3d4e-41a5-9632-0692becc3306|economist|male|scientist|1931-1951|Central Europe
1198|urn:uuid:22be8b4b-8316-4579-b5ae-63e002849529|jurist|male|politician|1791-1811|Central Europe
1199|urn:uuid:5a99bd8c-e7fc-4f1b-85a5-2cced670f13c|economist|male|scientist|1891-1911|Central Europe
1200|urn:uuid:5a99bd8c-e7fc-4f1b-85a5-2cced670f13c|economist|male|scientist|1891-1911|Eastern Europe
1201|urn:uuid:43d088f4-df89-4691-9071-826b42663a9b|jurist|male|politician|1931-1951|Central Europe
1202|urn:uuid:43d088f4-df89-4691-9071-826b42663a9b|jurist|male|writer|1931-1951|Central Europe
1203|urn:uuid:43d088f4-df89-4691-9071-826b42663a9b|jurist|male|media person|1931-1951|Central Europe
1204|urn:uuid:5a82fa89-b21f-4467-a3f1-fa5158c229ec|jurist|male|businessperson|1931-1951|Central Europe
1205|urn:uuid:146d8786-fdc1-47c3-bce5-bd421d343fa7|jurist|male|scientist|1871-1891|Central Europe
1206|urn:uuid:70ad5aa4-63fa-4e04-8c2e-b81208d321ee|jurist|male|politician|1891-1911|Central Europe
1207|urn:uuid:d0801f0b-0e97-44a3-b083-9c56a2eabba2|jurist|male|scientist|1871-1891|Central Europe
1209|urn:uuid:a5768cda-6abf-412b-ac9a-b63b600543d7|jurist|male|other|1871-1891|Central Europe
1210|urn:uuid:31495305-32ed-4c3f-9251-07ae0bce0aba|jurist|male|scientist|1931-1951|Central Europe
1211|urn:uuid:f0042069-e53b-472d-9a45-f48c34544b0a|jurist|male|scientist|1911-1931|Central Europe
1212|urn:uuid:f0042069-e53b-472d-9a45-f48c34544b0a|jurist|male|writer|1911-1931|Central Europe
1213|urn:uuid:7ca98d06-b0f6-44e7-9f25-fa3378b64017|jurist|male|politician|1931-1951|Central Europe
1214|urn:uuid:f4cc44a4-85cd-407b-9c08-2212318cbe38|jurist|male|other|1891-1911|Central Europe
1215|urn:uuid:2fb6c8e9-f447-43ce-9547-fb07eed5fba1|jurist|male|scientist|1931-1951|Central Europe
1216|urn:uuid:a0b98f89-6979-471a-89d2-103e39514c3a|economist|male|scientist|1911-1931|Central Europe
1217|urn:uuid:fc4a51a5-7451-4266-a02a-3bebcc3a7281|economist|male|scientist|1931-1951|Central Europe
1218|urn:uuid:8d16daa6-a2be-4fa6-bb2d-c7a4f726d689|jurist|male|politician|1791-1811|Central Europe
1219|urn:uuid:8d16daa6-a2be-4fa6-bb2d-c7a4f726d689|jurist|male|politician|1791-1811|Western Europe
1220|urn:uuid:8d16daa6-a2be-4fa6-bb2d-c7a4f726d689|jurist|male|media person|1791-1811|Central Europe
1221|urn:uuid:8d16daa6-a2be-4fa6-bb2d-c7a4f726d689|jurist|male|media person|1791-1811|Western Europe
1222|urn:uuid:37dc73c5-2db3-484f-be31-36e4a7bf86f1|jurist|male|politician|1871-1891|Central Europe
1223|urn:uuid:47cac671-180c-41c2-9cd3-1c695a886454|jurist|male|politician|1811-1831|Central Europe
1224|urn:uuid:1f0e8b60-7cb0-4c97-b9a6-9660c81b093c|jurist|male|politician|1791-1811|Central Europe
1225|urn:uuid:6ea4bc1d-9ea4-40ce-8f9b-cb399f1c1ae0|jurist|male|scientist|1871-1891|Central Europe
1226|urn:uuid:3fd6da7b-6f42-462e-af26-8af3484d53fa|jurist|male|politician|1851-1871|Central Europe
1227|urn:uuid:621eda44-68c7-40ef-810c-9aff967373fc|jurist|male|politician|1871-1891|Central Europe
1228|urn:uuid:640cd459-011f-40e4-8f3d-670511b8d61b|jurist|male|scientist|1911-1931|Central Europe
