|type|gender|occupation|generation|continent
1353|economist|male|teacher|1931-1951|North Am.
1355|economist|male|scientist|1891-1911|North Am.
1356|economist|male|scientist|1911-1931|North Am.
1357|economist|male|scientist|1911-1931|North Am.
1358|economist|male|scientist|1911-1931|North Am.
1359|economist|male|scientist|1911-1931|Europe
1360|economist|male|scientist|1911-1931|Europe
1363|jurist|male|politician|1931-1951|North Am.
1364|jurist|male|writer|1931-1951|North Am.
1365|jurist|male|scientist|1931-1951|North Am.
1367|jurist|male|politician|1911-1931|North Am.
1368|jurist|male|media person|1911-1931|North Am.
1369|jurist|male|politician|1871-1891|North Am.
1370|jurist|male|media person|1871-1891|North Am.
1371|jurist|male|politician|1891-1911|North Am.
1372|jurist|male|politician|1831-1851|North Am.
1373|jurist|male|politician|1931-1951|North Am.
1374|jurist|male|businessperson|1931-1951|North Am.
1375|jurist|male|other_occupation|1931-1951|North Am.
1377|economist|male|scientist|1911-1931|North Am.
1378|jurist|male|politician|1911-1931|North Am.
1379|jurist|male|politician|1831-1851|North Am.
1381|jurist|male|politician|1871-1891|North Am.
1382|jurist|male|writer|1931-1951|North Am.
1383|jurist|male|politician|1851-1871|North Am.
1384|jurist|male|politician|1891-1911|North Am.
1385|jurist|male|politician|1831-1851|North Am.
1386|jurist|male|scientist|1831-1851|North Am.
1387|jurist|male|politician|1911-1931|North Am.
1388|jurist|male|politician|1851-1871|North Am.
1389|economist|male|writer|1911-1931|North Am.
1390|economist|male|scientist|1911-1931|North Am.
1391|economist|male|scientist|1911-1931|North Am.
1392|economist|male|other_occupation|1911-1931|North Am.
1393|economist|male|writer|1911-1931|Europe
1394|economist|male|scientist|1911-1931|Europe
1395|economist|male|scientist|1911-1931|Europe
1396|economist|male|other_occupation|1911-1931|Europe
1397|jurist|male|politician|1871-1891|North Am.
1398|jurist|male|politician|1891-1911|North Am.
1399|jurist|male|politician|1811-1831|North Am.
1400|economist|male|politician|1911-1931|North Am.
1401|jurist|male|politician|1831-1851|North Am.
1402|jurist|male|politician|1891-1911|North Am.
1403|jurist|male|politician|1891-1911|North Am.
1404|jurist|male|businessperson|1891-1911|North Am.
1405|jurist|male|other_occupation|1891-1911|North Am.
1406|jurist|male|politician|1931-1951|North Am.
1407|jurist|male|scientist|1931-1951|North Am.
1408|jurist|male|writer|1931-1951|North Am.
1409|jurist|female|teacher|1931-1951|North Am.
1410|jurist|male|scientist|1931-1951|North Am.
1411|jurist|male|scientist|1931-1951|Europe
1412|jurist|male|politician|1851-1871|North Am.
1413|jurist|male|politician|1871-1891|North Am.
1414|economist|male|scientist|1911-1931|North Am.
1415|jurist|male|politician|1871-1891|North Am.
1416|economist|female|writer|1931-1951|North Am.
1417|jurist|male|businessperson|1891-1911|North Am.
1418|economist|male|scientist|1911-1931|North Am.
1419|jurist|male|politician|1771-1791|North Am.
1420|economist|male|scientist|1871-1891|North Am.
1421|jurist|male|politician|1791-1811|North Am.
1422|jurist|male|politician|1851-1871|North Am.
1423|jurist|male|politician|1911-1931|North Am.
1424|jurist|male|politician|1831-1851|North Am.
1425|jurist|male|politician|1831-1851|North Am.
1426|jurist|male|politician|1811-1831|North Am.
1427|jurist|male|politician|1831-1851|North Am.
1428|jurist|male|scientist|1831-1851|North Am.
1429|jurist|male|other_occupation|1831-1851|North Am.
1430|jurist|male|politician|1931-1951|North Am.
1431|jurist|male|politician|1831-1851|North Am.
1432|jurist|male|politician|1851-1871|North Am.
1433|economist|male|scientist|1911-1931|North Am.
1434|jurist|male|scientist|1891-1911|North Am.
1435|jurist|male|scientist|1891-1911|Europe
1436|economist|male|politician|1891-1911|North Am.
1437|economist|male|scientist|1891-1911|North Am.
1438|jurist|male|politician|1811-1831|North Am.
1439|jurist|male|other_occupation|1811-1831|North Am.
1440|jurist|male|politician|1851-1871|North Am.
1441|jurist|male|politician|1811-1831|North Am.
1442|jurist|male|media person|1811-1831|North Am.
1443|jurist|male|other_occupation|1811-1831|North Am.
1445|jurist|male|politician|1851-1871|North Am.
1446|jurist|male|media person|1891-1911|North Am.
1450|jurist|male|politician|1911-1931|North Am.
1451|jurist|male|politician|1871-1891|North Am.
1452|jurist|male|other_occupation|1911-1931|North Am.
1453|jurist|male|politician|1871-1891|North Am.
1454|jurist|male|politician|1871-1891|North Am.
1455|jurist|male|scientist|1891-1911|North Am.
1456|economist|male|scientist|1911-1931|North Am.
1457|jurist|male|politician|1891-1911|North Am.
1459|jurist|male|politician|1871-1891|North Am.
1460|jurist|male|teacher|1871-1891|North Am.
1461|jurist|male|politician|1871-1891|North Am.
1462|jurist|male|politician|1891-1911|North Am.
1463|jurist|male|media person|1891-1911|North Am.
1464|jurist|male|other_occupation|1891-1911|North Am.
1465|jurist|male|media person|1891-1911|Europe
1466|jurist|male|other_occupation|1891-1911|Europe
1467|jurist|male|politician|1831-1851|North Am.
1468|jurist|male|scientist|1831-1851|North Am.
1469|jurist|male|scientist|1911-1931|North Am.
1470|jurist|male|politician|1851-1871|North Am.
1471|jurist|male|politician|1911-1931|North Am.
1472|jurist|male|politician|1891-1911|North Am.
1473|jurist|male|other_occupation|1891-1911|North Am.
1474|jurist|female|politician|1931-1951|North Am.
1475|jurist|female|scientist|1931-1951|North Am.
1476|jurist|male|politician|1931-1951|North Am.
1478|jurist|male|politician|1891-1911|North Am.
1479|jurist|male|politician|1931-1951|North Am.
1480|jurist|male|politician|1851-1871|North Am.
1481|jurist|female|writer|1891-1911|North Am.
1482|jurist|male|other_occupation|1891-1911|North Am.
1483|jurist|male|politician|1911-1931|North Am.
1484|economist|male|politician|1911-1931|North Am.
1485|economist|male|politician|1911-1931|Europe
1486|jurist|male|politician|1931-1951|North Am.
1487|jurist|male|businessperson|1931-1951|North Am.
1488|jurist|male|other_occupation|1931-1951|North Am.
1489|jurist|male|politician|1811-1831|North Am.
1490|jurist|male|scientist|1811-1831|North Am.
1491|jurist|male|politician|1871-1891|North Am.
1492|jurist|male|politician|1851-1871|North Am.
1493|jurist|female|media person|1911-1931|North Am.
1494|jurist|male|politician|1871-1891|North Am.
1495|jurist|male|politician|1871-1891|North Am.
1496|economist|male|scientist|1931-1951|North Am.
1497|economist|male|scientist|1931-1951|North Am.
1498|economist|male|other_occupation|1931-1951|North Am.
1499|economist|female|scientist|1871-1891|North Am.
1500|economist|female|writer|1871-1891|North Am.
1501|economist|female|scientist|1871-1891|Europe
1502|economist|female|writer|1871-1891|Europe
1503|jurist|male|politician|1771-1791|North Am.
1504|jurist|male|scientist|1811-1831|North Am.
1505|jurist|male|writer|1811-1831|North Am.
1506|jurist|male|politician|1871-1891|North Am.
1507|jurist|male|politician|1871-1891|North Am.
1508|jurist|male|teacher|1871-1891|North Am.
1509|jurist|male|politician|1791-1811|North Am.
1510|jurist|male|politician|1891-1911|North Am.
1511|jurist|male|politician|1851-1871|North Am.
1512|jurist|male|politician|1851-1871|North Am.
1513|jurist|male|politician|1891-1911|North Am.
1514|jurist|male|politician|1891-1911|North Am.
1515|jurist|male|politician|1871-1891|North Am.
1516|jurist|male|politician|1831-1851|North Am.
1517|jurist|male|politician|1791-1811|North Am.
1518|jurist|male|politician|1831-1851|North Am.
1519|jurist|male|politician|1851-1871|North Am.
1520|jurist|male|politician|1851-1871|North Am.
1521|jurist|male|politician|1791-1811|North Am.
1522|jurist|male|politician|1851-1871|North Am.
1523|jurist|male|politician|1811-1831|North Am.
1524|jurist|male|politician|1851-1871|North Am.
1525|jurist|male|politician|1911-1931|North Am.
1526|jurist|male|politician|1811-1831|North Am.
1527|jurist|male|politician|1851-1871|North Am.
1528|jurist|male|politician|1851-1871|North Am.
1529|jurist|male|politician|1851-1871|North Am.
1530|jurist|male|teacher|1851-1871|North Am.
1531|jurist|male|politician|1851-1871|North Am.
1532|jurist|male|politician|1891-1911|North Am.
1533|jurist|male|politician|1831-1851|North Am.
1534|jurist|male|politician|1871-1891|North Am.
1535|jurist|male|writer|1891-1911|North Am.
1536|jurist|male|politician|1891-1911|North Am.
1537|jurist|male|politician|1831-1851|North Am.
1538|jurist|male|politician|1871-1891|North Am.
1539|jurist|male|politician|1771-1791|North Am.
1540|jurist|male|politician|1871-1891|North Am.
1541|jurist|male|politician|1851-1871|North Am.
1542|jurist|male|politician|1931-1951|North Am.
1543|jurist|male|politician|1831-1851|North Am.
1544|jurist|male|politician|1851-1871|North Am.
1545|jurist|male|scientist|1931-1951|North Am.
1546|jurist|male|politician|1851-1871|North Am.
1547|jurist|male|politician|1871-1891|North Am.
1548|jurist|male|politician|1931-1951|North Am.
1553|jurist|male|politician|1891-1911|North Am.
1554|jurist|male|teacher|1891-1911|North Am.
1555|jurist|male|politician|1831-1851|North Am.
1556|jurist|male|politician|1871-1891|North Am.
1557|jurist|male|politician|1831-1851|North Am.
1558|jurist|male|politician|1791-1811|North Am.
1559|jurist|male|politician|1831-1851|North Am.
1560|jurist|male|politician|1831-1851|North Am.
1561|jurist|male|politician|1851-1871|North Am.
1562|jurist|male|politician|1831-1851|North Am.
1563|jurist|male|politician|1831-1851|North Am.
1564|jurist|male|politician|1811-1831|North Am.
1565|jurist|male|politician|1851-1871|North Am.
1566|jurist|male|politician|1851-1871|North Am.
1567|jurist|male|politician|1771-1791|North Am.
1568|jurist|male|politician|1871-1891|North Am.
1569|jurist|male|politician|1831-1851|North Am.
1570|jurist|male|politician|1791-1811|North Am.
1571|jurist|male|other_occupation|1791-1811|North Am.
1572|jurist|male|politician|1851-1871|North Am.
1573|jurist|male|teacher|1851-1871|North Am.
1574|jurist|male|businessperson|1851-1871|North Am.
1575|jurist|male|politician|1811-1831|North Am.
1576|jurist|male|politician|1851-1871|North Am.
1577|jurist|male|scientist|1851-1871|North Am.
1578|jurist|male|politician|1811-1831|North Am.
1579|jurist|male|politician|1791-1811|North Am.
1580|jurist|male|politician|1831-1851|North Am.
1581|jurist|male|politician|1791-1811|North Am.
1582|jurist|male|politician|1851-1871|North Am.
1583|jurist|male|politician|1871-1891|North Am.
1584|jurist|male|politician|1871-1891|North Am.
1585|jurist|male|politician|1831-1851|North Am.
1586|jurist|male|politician|1871-1891|North Am.
1587|jurist|male|politician|1871-1891|North Am.
1588|jurist|male|politician|1851-1871|North Am.
1589|jurist|male|politician|1891-1911|North Am.
1590|jurist|male|politician|1831-1851|North Am.
1591|jurist|male|scientist|1931-1951|North Am.
1592|jurist|male|politician|1851-1871|North Am.
1593|jurist|male|politician|1831-1851|North Am.
1594|jurist|male|politician|1851-1871|North Am.
1595|jurist|male|politician|1871-1891|North Am.
1596|jurist|male|writer|1871-1891|North Am.
1597|jurist|male|politician|1911-1931|North Am.
1598|jurist|male|politician|1911-1931|North Am.
1599|jurist|male|politician|1871-1891|North Am.
1600|jurist|male|politician|1891-1911|North Am.
1601|economist|male|scientist|1891-1911|North Am.
1602|jurist|male|politician|1931-1951|North Am.
1603|jurist|male|politician|1811-1831|North Am.
1604|jurist|male|politician|1831-1851|North Am.
1605|jurist|male|other_occupation|1831-1851|North Am.
1606|jurist|male|politician|1831-1851|North Am.
1607|jurist|male|politician|1871-1891|North Am.
1608|jurist|male|teacher|1871-1891|North Am.
1609|jurist|male|politician|1891-1911|North Am.
1610|jurist|male|politician|1891-1911|North Am.
1611|jurist|male|politician|1811-1831|North Am.
1612|jurist|male|politician|1851-1871|North Am.
1613|jurist|male|politician|1811-1831|North Am.
1614|jurist|male|scientist|1911-1931|North Am.
1615|jurist|male|politician|1791-1811|North Am.
1616|jurist|male|politician|1891-1911|North Am.
1617|jurist|male|writer|1891-1911|North Am.
1618|jurist|male|politician|1931-1951|North Am.
1619|jurist|male|politician|1851-1871|North Am.
1620|jurist|male|politician|1851-1871|North Am.
1621|jurist|male|businessperson|1831-1851|North Am.
1622|jurist|male|politician|1911-1931|North Am.
1623|jurist|male|politician|1771-1791|North Am.
1624|jurist|male|politician|1791-1811|North Am.
1625|jurist|male|politician|1871-1891|North Am.
1626|jurist|male|politician|1871-1891|North Am.
1627|jurist|male|politician|1851-1871|North Am.
1628|economist|male|scientist|1911-1931|North Am.
1629|jurist|male|politician|1811-1831|North Am.
1630|jurist|male|politician|1811-1831|North Am.
1631|jurist|male|other_occupation|1811-1831|North Am.
1632|jurist|male|politician|1911-1931|North Am.
1633|jurist|male|politician|1851-1871|North Am.
1634|jurist|male|politician|1811-1831|North Am.
1635|jurist|male|politician|1911-1931|North Am.
1636|jurist|male|politician|1811-1831|North Am.
1637|jurist|male|politician|1811-1831|North Am.
1638|jurist|male|media person|1811-1831|North Am.
1639|jurist|male|other_occupation|1811-1831|North Am.
1640|economist|male|scientist|1871-1891|North Am.
1641|economist|male|scientist|1871-1891|North Am.
1642|jurist|male|politician|1951-1971|North Am.
1645|jurist|male|politician|1851-1871|North Am.
1646|jurist|male|politician|1851-1871|North Am.
1647|jurist|male|politician|1851-1871|North Am.
1648|economist|female|politician|1871-1891|North Am.
1649|economist|female|businessperson|1871-1891|North Am.
1650|economist|female|other_occupation|1871-1891|North Am.
1651|jurist|male|politician|1871-1891|North Am.
1652|jurist|male|businessperson|1931-1951|North Am.
1653|jurist|male|politician|1891-1911|North Am.
1654|jurist|male|politician|1831-1851|North Am.
1655|jurist|male|other_occupation|1831-1851|North Am.
1656|jurist|male|politician|1771-1791|North Am.
1657|economist|male|scientist|1931-1951|North Am.
1658|economist|male|scientist|1931-1951|North Am.
1659|economist|male|writer|1931-1951|North Am.
1664|economist|male|scientist|1931-1951|North Am.
1665|jurist|male|politician|1871-1891|North Am.
1666|jurist|male|athlete|1871-1891|North Am.
1668|jurist|male|politician|1831-1851|North Am.
1669|jurist|male|politician|1811-1831|North Am.
1670|jurist|male|politician|1791-1811|North Am.
1671|jurist|male|politician|1771-1791|North Am.
1672|jurist|male|politician|1791-1811|North Am.
1673|jurist|male|politician|1931-1951|North Am.
1674|jurist|male|politician|1811-1831|North Am.
1675|economist|male|scientist|1911-1931|North Am.
1680|jurist|male|politician|1771-1791|North Am.
1681|jurist|male|other_occupation|1771-1791|North Am.
1682|jurist|male|politician|1911-1931|North Am.
1683|jurist|female|politician|1931-1951|North Am.
1684|jurist|female|media person|1931-1951|North Am.
1685|jurist|male|politician|1871-1891|North Am.
1686|jurist|male|politician|1891-1911|North Am.
1687|jurist|male|other_occupation|1891-1911|North Am.
1688|jurist|male|politician|1871-1891|North Am.
1689|jurist|male|politician|1911-1931|North Am.
1690|jurist|male|politician|1851-1871|North Am.
1691|jurist|male|politician|1851-1871|North Am.
1692|jurist|male|politician|1871-1891|North Am.
1693|jurist|male|politician|1891-1911|North Am.
1694|jurist|male|politician|1871-1891|North Am.
1695|jurist|male|politician|1851-1871|North Am.
1696|jurist|male|politician|1851-1871|North Am.
1697|economist|male|scientist|1931-1951|North Am.
1698|jurist|male|politician|1911-1931|North Am.
1699|jurist|male|politician|1931-1951|North Am.
1700|jurist|male|politician|1911-1931|North Am.
1701|jurist|male|politician|1851-1871|North Am.
1702|economist|male|scientist|1931-1951|North Am.
1703|jurist|male|politician|1851-1871|North Am.
1704|economist|male|scientist|1931-1951|North Am.
1705|economist|male|scientist|1931-1951|North Am.
1706|jurist|male|politician|1871-1891|North Am.
1707|jurist|male|politician|1871-1891|North Am.
1708|economist|male|scientist|1891-1911|North Am.
1709|economist|male|scientist|1891-1911|Europe
1710|jurist|male|politician|1831-1851|North Am.
1713|jurist|male|scientist|1911-1931|North Am.
1714|jurist|male|writer|1911-1931|North Am.
1715|jurist|male|politician|1931-1951|North Am.
1716|jurist|male|other_occupation|1931-1951|North Am.
1717|jurist|male|politician|1951-1971|North Am.
1718|jurist|male|politician|1871-1891|North Am.
1719|jurist|male|politician|1871-1891|North Am.
1720|jurist|male|politician|1911-1931|North Am.
1721|jurist|male|politician|1891-1911|North Am.
1722|jurist|male|politician|1871-1891|North Am.
1723|jurist|male|politician|1891-1911|North Am.
1724|jurist|male|politician|1891-1911|North Am.
1725|jurist|male|politician|1871-1891|North Am.
1726|jurist|male|politician|1831-1851|North Am.
1727|jurist|male|politician|1911-1931|North Am.
1728|jurist|male|politician|1911-1931|North Am.
1729|jurist|male|politician|1891-1911|North Am.
1730|jurist|male|politician|1911-1931|North Am.
1731|jurist|male|politician|1871-1891|North Am.
1732|jurist|male|politician|1871-1891|North Am.
1733|economist|male|media person|1931-1951|North Am.
1734|economist|male|writer|1931-1951|North Am.
1735|jurist|male|politician|1891-1911|North Am.
1736|jurist|male|other_occupation|1891-1911|North Am.
1737|jurist|male|politician|1871-1891|North Am.
1738|jurist|male|politician|1851-1871|North Am.
1739|economist|male|businessperson|1891-1911|North Am.
1740|economist|male|scientist|1931-1951|North Am.
1741|jurist|male|politician|1771-1791|North Am.
1742|jurist|male|politician|1871-1891|North Am.
1743|jurist|male|politician|1831-1851|North Am.
1744|jurist|male|media person|1831-1851|North Am.
1745|jurist|male|politician|1851-1871|North Am.
1746|jurist|male|politician|1791-1811|North Am.
1749|jurist|male|politician|1811-1831|North Am.
1750|jurist|male|politician|1891-1911|North Am.
1751|economist|male|scientist|1891-1911|North Am.
1752|economist|male|scientist|1891-1911|Europe
1753|jurist|male|politician|1911-1931|North Am.
1754|jurist|male|politician|1791-1811|North Am.
1755|jurist|male|scientist|1791-1811|North Am.
1756|jurist|male|politician|1931-1951|North Am.
1757|jurist|male|politician|1771-1791|North Am.
1758|jurist|male|politician|1811-1831|North Am.
1759|jurist|male|politician|1891-1911|North Am.
1760|jurist|male|scientist|1891-1911|North Am.
1761|jurist|male|politician|1791-1811|North Am.
1762|jurist|male|politician|1771-1791|North Am.
1763|jurist|male|other_occupation|1771-1791|North Am.
1769|jurist|male|politician|1871-1891|North Am.
1770|jurist|male|scientist|1871-1891|North Am.
1771|jurist|male|other_occupation|1871-1891|North Am.
1772|jurist|male|politician|1771-1791|North Am.
1773|jurist|female|politician|1911-1931|North Am.
1774|jurist|male|politician|1811-1831|North Am.
1775|jurist|male|politician|1831-1851|North Am.
1776|jurist|male|politician|1871-1891|North Am.
1777|jurist|male|scientist|1871-1891|North Am.
1778|jurist|male|scientist|1871-1891|North Am.
1779|jurist|male|scientist|1871-1891|Europe
1780|jurist|male|scientist|1871-1891|Europe
1781|jurist|male|scientist|1891-1911|North Am.
1782|jurist|male|scientist|1891-1911|Europe
1783|jurist|male|politician|1851-1871|North Am.
1784|jurist|male|scientist|1891-1911|North Am.
1785|jurist|male|writer|1891-1911|North Am.
1786|jurist|male|politician|1871-1891|North Am.
1788|jurist|male|politician|1791-1811|North Am.
1789|economist|male|writer|1831-1851|North Am.
1790|economist|male|teacher|1831-1851|North Am.
1791|jurist|male|politician|1871-1891|North Am.
1792|jurist|male|politician|1911-1931|North Am.
1793|jurist|male|politician|1911-1931|North Am.
1794|jurist|male|other_occupation|1911-1931|North Am.
1795|jurist|male|politician|1811-1831|North Am.
1796|jurist|male|businessperson|1811-1831|North Am.
1801|jurist|male|politician|1871-1891|North Am.
1802|jurist|male|politician|1831-1851|North Am.
1803|jurist|male|politician|1891-1911|North Am.
1804|jurist|male|politician|1931-1951|North Am.
1805|jurist|male|politician|1911-1931|North Am.
1806|jurist|male|other_occupation|1911-1931|North Am.
1809|jurist|male|other_occupation|1831-1851|North Am.
1810|jurist|male|other_occupation|1831-1851|North Am.
1811|jurist|male|politician|1791-1811|North Am.
1812|economist|male|scientist|1911-1931|North Am.
1814|jurist|male|politician|1871-1891|North Am.
1815|jurist|male|politician|1771-1791|North Am.
1816|jurist|male|politician|1871-1891|North Am.
1817|jurist|male|scientist|1871-1891|North Am.
1818|jurist|male|politician|1891-1911|North Am.
1819|jurist|male|politician|1811-1831|North Am.
1820|jurist|male|writer|1811-1831|North Am.
1821|jurist|male|politician|1791-1811|North Am.
1822|jurist|male|scientist|1791-1811|North Am.
1823|jurist|male|politician|1911-1931|North Am.
1827|jurist|male|politician|1791-1811|North Am.
1828|jurist|male|politician|1871-1891|North Am.
1829|jurist|male|politician|1871-1891|North Am.
1830|jurist|male|politician|1851-1871|North Am.
1831|jurist|male|politician|1891-1911|North Am.
1832|jurist|male|businessperson|1891-1911|North Am.
1833|jurist|male|other_occupation|1891-1911|North Am.
1834|jurist|male|politician|1891-1911|Asia
1835|jurist|male|businessperson|1891-1911|Asia
1836|jurist|male|other_occupation|1891-1911|Asia
1837|jurist|male|politician|1771-1791|North Am.
1838|jurist|male|politician|1811-1831|North Am.
1839|jurist|male|politician|1771-1791|North Am.
1840|jurist|male|businessperson|1771-1791|North Am.
1841|jurist|male|politician|1911-1931|North Am.
1842|jurist|male|other_occupation|1911-1931|North Am.
1843|jurist|male|politician|1791-1811|North Am.
1844|jurist|male|politician|1811-1831|North Am.
1845|jurist|male|politician|1811-1831|North Am.
1846|jurist|male|politician|1851-1871|North Am.
1847|jurist|male|politician|1771-1791|North Am.
1848|jurist|male|scientist|1831-1851|North Am.
1849|jurist|male|politician|1871-1891|North Am.
1850|jurist|male|politician|1851-1871|North Am.
1851|jurist|male|politician|1831-1851|North Am.
1852|jurist|male|politician|1791-1811|North Am.
1853|jurist|male|politician|1871-1891|North Am.
1854|jurist|male|politician|1791-1811|North Am.
1855|jurist|male|politician|1851-1871|North Am.
1856|jurist|male|politician|1891-1911|North Am.
1857|jurist|male|other_occupation|1891-1911|North Am.
1858|economist|male|scientist|1931-1951|North Am.
1859|jurist|male|politician|1811-1831|North Am.
1860|jurist|male|politician|1831-1851|North Am.
1861|jurist|male|politician|1811-1831|North Am.
1862|jurist|male|politician|1831-1851|North Am.
1863|jurist|male|politician|1831-1851|North Am.
1865|jurist|male|politician|1851-1871|North Am.
1867|jurist|male|politician|1871-1891|North Am.
1868|jurist|male|politician|1911-1931|North Am.
1869|jurist|male|politician|1771-1791|North Am.
1870|jurist|male|politician|1771-1791|North Am.
1871|jurist|male|politician|1891-1911|North Am.
1872|jurist|male|politician|1931-1951|North Am.
1873|jurist|male|other_occupation|1931-1951|North Am.
1874|jurist|male|other_occupation|1931-1951|North Am.
1875|economist|male|scientist|1931-1951|North Am.
1876|jurist|male|politician|1931-1951|North Am.
1877|jurist|male|politician|1831-1851|North Am.
1878|jurist|male|politician|1871-1891|North Am.
1879|jurist|male|politician|1831-1851|North Am.
1880|jurist|male|politician|1831-1851|North Am.
1881|jurist|male|other_occupation|1811-1831|North Am.
1882|jurist|male|politician|1791-1811|North Am.
1883|economist|male|scientist|1931-1951|North Am.
1884|jurist|male|politician|1791-1811|North Am.
1887|jurist|male|politician|1871-1891|North Am.
1888|jurist|male|politician|1931-1951|North Am.
1889|jurist|male|politician|1851-1871|North Am.
1890|jurist|male|politician|1911-1931|North Am.
1891|jurist|male|other_occupation|1911-1931|North Am.
1892|jurist|male|other_occupation|1831-1851|North Am.
1893|jurist|male|politician|1931-1951|North Am.
1894|economist|male|scientist|1911-1931|North Am.
1895|jurist|male|politician|1831-1851|North Am.
1896|jurist|male|politician|1851-1871|North Am.
1897|jurist|male|politician|1871-1891|North Am.
1898|jurist|male|politician|1851-1871|North Am.
1899|jurist|male|politician|1871-1891|North Am.
1900|jurist|male|politician|1831-1851|North Am.
1901|jurist|male|politician|1851-1871|North Am.
1902|jurist|male|politician|1771-1791|North Am.
1904|jurist|male|politician|1911-1931|North Am.
1905|jurist|male|politician|1931-1951|North Am.
1906|jurist|male|scientist|1931-1951|North Am.
1907|jurist|male|other_occupation|1931-1951|North Am.
1908|jurist|male|politician|1911-1931|North Am.
1909|jurist|male|politician|1811-1831|North Am.
1910|jurist|male|politician|1771-1791|North Am.
1911|jurist|male|politician|1811-1831|North Am.
1912|jurist|male|politician|1931-1951|North Am.
1913|jurist|male|politician|1791-1811|North Am.
1914|jurist|male|other_occupation|1791-1811|North Am.
1915|jurist|male|other_occupation|1791-1811|North Am.
1917|jurist|male|politician|1911-1931|North Am.
1918|jurist|male|politician|1931-1951|North Am.
1919|jurist|male|politician|1811-1831|North Am.
1920|jurist|male|politician|1891-1911|North Am.
1921|jurist|male|politician|1791-1811|North Am.
1922|jurist|male|politician|1911-1931|North Am.
1923|jurist|male|politician|1871-1891|North Am.
1924|jurist|male|politician|1791-1811|North Am.
1926|jurist|male|politician|1891-1911|North Am.
1927|economist|male|scientist|1931-1951|North Am.
1928|jurist|male|politician|1931-1951|North Am.
1929|jurist|male|politician|1891-1911|North Am.
1930|jurist|male|teacher|1891-1911|North Am.
1931|jurist|male|politician|1911-1931|North Am.
1932|jurist|male|politician|1911-1931|North Am.
1933|jurist|male|politician|1911-1931|North Am.
1935|jurist|male|politician|1931-1951|North Am.
1936|jurist|male|politician|1931-1951|North Am.
1937|jurist|male|politician|1891-1911|North Am.
1938|jurist|male|other_occupation|1891-1911|North Am.
1939|economist|male|scientist|1931-1951|North Am.
1940|economist|male|scientist|1931-1951|Europe
1941|economist|male|writer|1931-1951|North Am.
1942|jurist|male|politician|1931-1951|North Am.
1948|jurist|male|politician|1851-1871|North Am.
1949|jurist|male|politician|1811-1831|North Am.
1950|jurist|male|politician|1851-1871|North Am.
1951|jurist|male|politician|1811-1831|North Am.
1952|jurist|male|other_occupation|1931-1951|North Am.
1953|jurist|male|politician|1831-1851|North Am.
1954|jurist|male|politician|1811-1831|North Am.
1955|jurist|male|scientist|1891-1911|North Am.
1956|jurist|male|scientist|1891-1911|Europe
1957|jurist|male|businessperson|1851-1871|North Am.
1960|economist|male|teacher|1931-1951|North Am.
1961|economist|male|teacher|1931-1951|North Am.
1962|economist|male|teacher|1931-1951|Europe
1963|jurist|male|politician|1851-1871|North Am.
1964|jurist|male|politician|1831-1851|North Am.
1965|jurist|male|other_occupation|1851-1871|North Am.
1966|jurist|male|other_occupation|1911-1931|North Am.
1967|jurist|male|politician|1851-1871|North Am.
1968|jurist|male|politician|1911-1931|North Am.
1970|jurist|male|politician|1891-1911|North Am.
1971|jurist|male|politician|1791-1811|North Am.
1972|jurist|male|politician|1931-1951|North Am.
1973|jurist|male|politician|1931-1951|North Am.
1974|jurist|male|scientist|1931-1951|North Am.
1975|jurist|male|writer|1931-1951|North Am.
1976|jurist|male|scientist|1931-1951|Europe
1977|jurist|male|writer|1931-1951|Europe
1978|jurist|male|politician|1811-1831|North Am.
1982|jurist|male|other_occupation|1791-1811|North Am.
1983|jurist|male|politician|1851-1871|North Am.
1984|jurist|male|politician|1851-1871|North Am.
1985|jurist|male|politician|1891-1911|North Am.
1986|jurist|male|politician|1851-1871|North Am.
1988|jurist|male|politician|1831-1851|North Am.
1989|jurist|male|other_occupation|1831-1851|North Am.
1990|jurist|male|politician|1891-1911|North Am.
1991|jurist|male|politician|1911-1931|North Am.
1992|jurist|male|other_occupation|1911-1931|North Am.
1993|jurist|male|politician|1871-1891|North Am.
1994|jurist|male|politician|1811-1831|North Am.
1995|jurist|male|other_occupation|1811-1831|North Am.
1996|jurist|male|politician|1831-1851|North Am.
1997|jurist|male|politician|1871-1891|North Am.
1998|jurist|male|politician|1831-1851|North Am.
1999|jurist|male|politician|1931-1951|North Am.
2000|jurist|male|politician|1891-1911|North Am.
2001|jurist|male|politician|1811-1831|North Am.
2002|jurist|male|politician|1911-1931|North Am.
2003|jurist|male|politician|1931-1951|North Am.
2004|jurist|male|politician|1831-1851|North Am.
2005|jurist|male|politician|1911-1931|North Am.
2006|jurist|male|politician|1811-1831|North Am.
2007|jurist|male|politician|1811-1831|North Am.
2008|jurist|male|politician|1811-1831|North Am.
2009|jurist|male|politician|1931-1951|North Am.
2010|jurist|male|politician|1871-1891|North Am.
2011|jurist|male|politician|1771-1791|North Am.
2012|jurist|male|other_occupation|1771-1791|North Am.
2014|jurist|male|politician|1811-1831|North Am.
2015|jurist|male|politician|1851-1871|North Am.
2016|jurist|male|politician|1891-1911|North Am.
2017|jurist|male|politician|1891-1911|North Am.
2018|jurist|male|politician|1771-1791|North Am.
2019|jurist|male|politician|1811-1831|North Am.
2020|jurist|male|politician|1831-1851|North Am.
